Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,28,34,46,36,20,0,0,0,0,0,3,16
2,32,32,47,35,18,0,0,0,0,0,3,19
3,31,32,47,40,15,0,0,0,0,0,3,18
4,30,32,45,37,14,0,0,0,0,0,3,18
5,30,32,44,36,13,0,0,0,0,0,2,17
6,31,33,44,35,11,0,0,0,0,0,2,17
7,31,46,44,33,9,0,0,0,0,0,2,16
8,29,50,43,32,6,0,0,0,0,0,5,16
9,31,52,43,30,4,7,0,0,0,0,7,16
10,33,56,43,30,1,0,0,0,0,0,12,16
11,32,53,42,29,0,0,0,0,2,0,11,17
12,35,52,41,31,0,0,0,0,0,3,12,19
13,35,50,40,32,0,0,0,0,0,0,11,22
14,34,48,40,32,0,0,0,0,0,0,13,21
15,35,48,39,32,0,0,0,0,0,0,12,26
16,33,53,38,35,0,0,0,0,0,0,11,26
17,31,60,36,39,0,0,0,0,0,0,10,25
18,34,57,34,33,0,0,0,0,0,0,10,25
19,33,56,34,32,0,0,0,0,0,0,9,24
20,32,53,42,35,0,0,0,0,0,0,9,24
21,32,52,41,30,0,0,0,0,0,0,9,23
22,34,50,41,29,0,0,0,0,0,0,9,23
23,35,49,41,27,0,0,0,0,0,0,8,24
24,34,48,40,33,0,0,0,0,0,0,12,24
25,35,48,38,34,3,0,0,0,0,0,16,23
26,34,48,36,30,0,0,0,0,0,5,16,23
27,33,48,35,29,0,0,0,0,0,5,17,28
28,34,47,40,25,0,0,0,0,0,4,17,27
29,34,47,39,24,0,0,0,0,0,4,16,28
30,34,-,39,22,0,0,0,0,0,4,16,27
31,34,-,36,-,0,-,0,0,-,4,-,26
